TicketID,CustomerID,IssueType,Priority,ResolutionDays,Resolved
T002120,C020589,Login,High,7,No
T002121,C007702,Cancellation,Low,1,Yes
T002122,C000515,Feature,Low,11,No
T002123,C037287,Login,High,8,Yes
T002124,C031929,Bug,High,8,No
T002125,C022052,Login,Medium,1,No
T002126,C017336,Login,High,7,No
T002127,C035915,Bug,Medium,4,Yes
T002128,C005237,Cancellation,High,9,Yes
T002129,C018042,Cancellation,Low,13,No
T002130,C001263,Feature,Low,15,Yes
T002131,C046640,Billing,High,2,Yes
T002132,C027191,Login,Medium,11,No
T002133,C018059,Feature,Medium,2,No
T002134,C027980,Feature,High,3,No
T002135,C045499,Login,Medium,2,No
T002136,C026357,Feature,High,6,No
T002137,C040752,Billing,Low,1,Yes
T002138,C025950,Billing,High,13,Yes
T002139,C013159,Bug,High,1,Yes
T002140,C034812,Bug,High,3,Yes
T002141,C026666,Feature,High,14,No
T002142,C025296,Cancellation,High,6,No
T002143,C024700,Cancellation,Medium,0,Yes
T002144,C012073,Bug,High,1,Yes
T002145,C040920,Login,Medium,4,Yes
T002146,C027613,Login,Medium,11,No
T002147,C006940,Billing,High,12,No
T002148,C014607,Cancellation,Medium,1,No
T002149,C019965,Cancellation,Low,2,No
T002150,C022018,Bug,High,3,No
T002151,C036719,Login,Medium,14,No
T002152,C041873,Cancellation,Medium,3,No
T002153,C000002,Bug,Medium,10,No
T002154,C027908,Feature,High,12,No
T002155,C039716,Cancellation,Medium,13,No
T002156,C015050,Cancellation,Low,4,Yes
T002157,C039051,Cancellation,Medium,7,No
T002158,C008466,Billing,Low,6,Yes
T002159,C047558,Bug,Medium,0,Yes
T002160,C021440,Billing,Low,1,No
T002161,C028726,Billing,Low,1,Yes
T002162,C049162,Billing,High,5,No
T002163,C032351,Login,High,12,No
T002164,C028239,Login,Low,3,No
T002165,C032620,Login,Low,9,Yes
T002166,C019009,Feature,Medium,9,Yes
T002167,C038338,Cancellation,High,5,Yes
T002168,C017878,Billing,Low,7,Yes
T002169,C028995,Login,High,2,No
T002170,C037847,Cancellation,Medium,1,Yes
T002171,C011193,Cancellation,Low,3,No
T002172,C032082,Feature,High,9,No
T002173,C046748,Login,Low,8,Yes
T002174,C024627,Bug,High,5,No
T002175,C028664,Bug,High,1,Yes
T002176,C047755,Login,Medium,10,Yes
T002177,C022470,Billing,Low,2,Yes
T002178,C003840,Bug,Low,7,No
T002179,C038847,Bug,Low,14,No
T002180,C025192,Login,Low,2,Yes
T002181,C009519,Feature,Medium,6,No
T002182,C036862,Cancellation,Medium,15,Yes
T002183,C045870,Bug,Low,0,Yes
T002184,C036609,Cancellation,Low,6,Yes
T002185,C020772,Login,Medium,14,No
T002186,C049151,Billing,High,14,Yes
T002187,C049380,Billing,High,14,No
T002188,C000267,Login,High,14,No
T002189,C046363,Cancellation,High,12,Yes
T002190,C032327,Login,Low,10,No
T002191,C020706,Billing,Low,14,Yes
T002192,C046437,Bug,High,12,Yes
T002193,C025197,Billing,Medium,4,Yes
T002194,C019509,Login,High,6,No
T002195,C012813,Cancellation,Medium,2,No
T002196,C028089,Login,Low,9,Yes
T002197,C040464,Feature,Medium,3,No
T002198,C005801,Feature,Low,11,Yes
T002199,C039231,Bug,High,9,No
T002200,C015381,Cancellation,Medium,12,No
T002201,C014249,Billing,Medium,3,Yes
T002202,C019494,Bug,Medium,13,No
T002203,C006034,Bug,Medium,8,Yes
T002204,C003012,Bug,High,1,No
T002205,C003711,Billing,High,15,No
T002206,C018114,Cancellation,Medium,10,Yes
T002207,C035828,Feature,Low,9,No
T002208,C007701,Cancellation,Low,15,No
T002209,C013419,Billing,Medium,1,Yes
T002210,C029987,Bug,High,7,Yes
T002211,C015913,Feature,Medium,8,Yes
T002212,C018839,Billing,Medium,10,No
T002213,C012481,Bug,Medium,2,Yes
T002214,C015517,Billing,Medium,10,No
T002215,C047279,Login,High,13,Yes
T002216,C032994,Login,High,12,Yes
T002217,C044913,Cancellation,Medium,15,Yes
T002218,C011307,Bug,High,12,No
T002219,C024717,Cancellation,Low,11,Yes
T002220,C000341,Billing,Low,4,No
T002221,C028294,Feature,Low,2,No
T002222,C021848,Login,High,2,Yes
T002223,C001087,Login,Medium,9,Yes
T002224,C028082,Login,Medium,3,Yes
T002225,C032569,Cancellation,High,15,Yes
T002226,C012386,Login,Medium,15,No
T002227,C038980,Feature,Medium,12,No
T002228,C049045,Cancellation,High,6,No
T002229,C017245,Cancellation,Low,3,No
T002230,C043235,Cancellation,High,13,Yes
T002231,C010639,Feature,Medium,4,No
T002232,C047236,Login,Low,2,No
T002233,C029555,Cancellation,Medium,5,No
T002234,C018326,Bug,Low,15,Yes
T002235,C020422,Billing,Low,5,No
T002236,C003349,Login,Low,11,Yes
T002237,C037000,Cancellation,High,4,No
T002238,C016038,Billing,Low,8,Yes
T002239,C032971,Feature,Low,0,Yes
T002240,C024534,Login,Low,14,No
T002241,C037267,Cancellation,Medium,0,No
T002242,C022121,Cancellation,Low,11,Yes
T002243,C040428,Billing,Medium,9,Yes
T002244,C039744,Billing,High,2,Yes
T002245,C021748,Bug,High,8,Yes
T002246,C045201,Cancellation,High,13,Yes
T002247,C030010,Bug,Medium,5,Yes
T002248,C032074,Billing,Low,5,No
T002249,C048263,Bug,Medium,13,Yes
T002250,C006841,Login,Medium,8,Yes
T002251,C023046,Feature,High,10,Yes
T002252,C030522,Login,Medium,6,No
T002253,C042464,Cancellation,High,8,No
T002254,C008054,Billing,High,15,No
T002255,C026336,Cancellation,High,13,Yes
T002256,C021959,Cancellation,Medium,2,No
T002257,C027521,Billing,Low,6,No
T002258,C023638,Billing,High,0,Yes
T002259,C008563,Cancellation,Medium,7,Yes
T002260,C009825,Cancellation,Low,7,No
T002261,C038399,Bug,High,10,Yes
T002262,C005078,Bug,High,0,No
T002263,C004598,Cancellation,Medium,9,Yes
T002264,C026501,Cancellation,High,6,Yes
T002265,C012058,Login,Medium,11,No
T002266,C009463,Bug,High,7,Yes
T002267,C005153,Bug,Low,3,No
T002268,C002133,Login,Low,11,No
T002269,C014049,Login,Medium,8,Yes
T002270,C025320,Feature,High,14,Yes
T002271,C011006,Cancellation,Low,10,No
T002272,C004992,Cancellation,Low,1,No
T002273,C038862,Bug,High,6,Yes
T002274,C025017,Login,High,2,Yes
T002275,C040706,Bug,High,2,Yes
T002276,C004149,Login,Low,5,Yes
T002277,C041738,Bug,High,0,No
T002278,C021216,Cancellation,High,10,No
T002279,C041236,Cancellation,Low,3,No
T002280,C005772,Bug,High,9,Yes
T002281,C007355,Cancellation,High,13,Yes
T002282,C018157,Login,High,6,Yes
T002283,C041089,Billing,High,5,No
T002284,C030764,Bug,Medium,15,Yes
T002285,C001023,Billing,High,4,No
T002286,C048013,Feature,Medium,10,No
T002287,C044256,Bug,High,14,Yes
T002288,C045156,Cancellation,Low,4,Yes
T002289,C049862,Feature,Low,1,No
T002290,C003854,Bug,Medium,1,No
T002291,C025500,Login,Medium,9,No
T002292,C012845,Cancellation,Low,4,No
T002293,C033221,Login,Medium,13,No
T002294,C022548,Feature,Medium,0,No
T002295,C026398,Cancellation,Low,6,No
T002296,C025935,Feature,Low,6,Yes
T002297,C033175,Login,High,1,Yes
T002298,C042919,Cancellation,High,6,Yes
T002299,C028133,Cancellation,Medium,8,No
T002300,C014277,Feature,Low,9,No
T002301,C000024,Cancellation,Low,11,Yes
T002302,C000289,Feature,Low,0,No
T002303,C000460,Cancellation,Low,0,No
T002304,C017123,Billing,High,14,Yes
T002305,C004965,Bug,Medium,14,No
T002306,C009487,Billing,Medium,4,Yes
T002307,C031916,Login,Medium,15,Yes
T002308,C030661,Cancellation,Medium,8,No
T002309,C042262,Cancellation,Medium,2,Yes
T002310,C002530,Feature,Low,15,Yes
T002311,C009617,Bug,Medium,12,Yes
T002312,C025333,Login,Medium,6,Yes
T002313,C039514,Login,Low,13,No
T002314,C023607,Billing,High,13,Yes
T002315,C046135,Cancellation,Medium,13,No
T002316,C043628,Feature,High,7,No
T002317,C025534,Login,High,3,Yes
T002318,C012327,Feature,Medium,7,No
T002319,C046912,Cancellation,Medium,6,No
T002320,C035840,Billing,High,12,Yes
T002321,C013477,Bug,Low,13,No
T002322,C004242,Cancellation,Low,6,Yes
T002323,C044228,Login,Medium,6,No
T002324,C034375,Billing,High,10,No
T002325,C039075,Bug,High,9,Yes
T002326,C034759,Billing,Low,15,Yes
T002327,C032305,Cancellation,High,15,Yes
T002328,C009942,Billing,Medium,3,No
T002329,C013670,Cancellation,Low,6,Yes
T002330,C016153,Cancellation,Medium,3,No
T002331,C029280,Billing,High,4,Yes
T002332,C039491,Feature,Low,4,No
T002333,C037105,Feature,Medium,8,Yes
T002334,C010200,Login,Low,15,No
T002335,C008783,Login,High,9,Yes
T002336,C027564,Login,High,8,No
T002337,C035167,Cancellation,Low,3,Yes
T002338,C005208,Bug,High,0,No
T002339,C005426,Bug,Low,9,No
T002340,C032150,Bug,Low,2,No
T002341,C022885,Feature,Low,15,Yes
T002342,C033736,Login,High,9,No
T002343,C001002,Bug,Low,10,Yes
T002344,C047376,Login,High,2,Yes
T002345,C044338,Bug,High,9,Yes
T002346,C026974,Bug,Medium,12,No
T002347,C045633,Login,High,13,Yes
T002348,C035443,Login,Low,2,No
T002349,C028479,Cancellation,High,1,Yes
T002350,C002198,Feature,High,7,No
T002351,C019046,Billing,Medium,7,No
T002352,C030151,Cancellation,Low,2,No
T002353,C005107,Login,Medium,12,Yes
T002354,C041653,Login,Medium,8,No
T002355,C038846,Bug,Medium,15,Yes
T002356,C003251,Bug,High,13,Yes
T002357,C021253,Cancellation,Medium,3,No
T002358,C033050,Billing,High,5,Yes
T002359,C043809,Bug,Low,13,No
T002360,C027492,Cancellation,Medium,0,Yes
T002361,C022307,Feature,High,6,No
T002362,C016238,Login,Low,7,No
T002363,C024868,Bug,High,11,Yes
T002364,C036515,Feature,Medium,14,No
T002365,C034080,Bug,Low,4,No
T002366,C035579,Billing,Low,3,No
T002367,C042845,Billing,Low,3,Yes
T002368,C017108,Feature,Medium,9,Yes
T002369,C000707,Feature,High,8,Yes
T002370,C027700,Billing,High,5,No
T002371,C043948,Login,High,2,No
T002372,C027604,Cancellation,High,15,Yes
T002373,C045507,Login,High,0,Yes
T002374,C001040,Login,Medium,13,Yes
T002375,C003723,Bug,High,11,Yes
T002376,C034659,Login,Low,12,No
T002377,C044822,Feature,Medium,8,Yes
T002378,C017007,Login,Medium,0,No
T002379,C005415,Cancellation,High,7,Yes
T002380,C034609,Cancellation,Low,14,No
T002381,C046455,Bug,Low,12,Yes
T002382,C012039,Billing,Medium,9,No
T002383,C002348,Login,Medium,10,No
T002384,C012352,Cancellation,Low,15,Yes
T002385,C034487,Billing,Low,13,Yes
T002386,C010153,Login,Medium,4,Yes
T002387,C042596,Billing,Medium,13,Yes
T002388,C039699,Login,High,2,No
T002389,C043717,Feature,Medium,9,No
T002390,C041975,Login,High,11,Yes
T002391,C046651,Bug,Low,6,Yes
T002392,C015709,Feature,Low,4,No
T002393,C024687,Bug,Low,1,No
T002394,C049325,Cancellation,High,15,No
T002395,C022907,Cancellation,Low,0,No
T002396,C012999,Billing,Low,6,No
T002397,C046699,Cancellation,Medium,7,Yes
T002398,C000537,Cancellation,High,3,No
T002399,C017973,Login,Low,10,Yes
T002400,C048522,Login,Low,10,Yes
T002401,C040418,Login,Low,10,Yes
T002402,C013119,Login,Medium,4,No
T002403,C012682,Feature,High,11,Yes
T002404,C007602,Cancellation,High,2,Yes
T002405,C047316,Billing,Low,2,Yes
T002406,C009770,Billing,Medium,5,Yes
T002407,C045514,Cancellation,Low,14,Yes
T002408,C036392,Billing,Low,2,No
T002409,C029940,Login,Medium,9,No
T002410,C041550,Billing,Low,5,Yes
T002411,C023900,Cancellation,High,14,No
T002412,C041460,Login,Medium,8,No
T002413,C016818,Billing,High,4,No
T002414,C025188,Bug,Medium,5,No
T002415,C029455,Cancellation,High,7,Yes
T002416,C008726,Login,Low,13,No
T002417,C040574,Feature,Medium,8,No
T002418,C005793,Cancellation,Medium,2,No
T002419,C035541,Cancellation,Medium,7,Yes
T002420,C033292,Billing,Low,9,Yes
T002421,C033222,Billing,High,13,No
T002422,C002197,Cancellation,High,8,Yes
T002423,C044692,Cancellation,High,9,Yes
T002424,C038974,Feature,Low,0,No
T002425,C016047,Billing,High,12,No
T002426,C045080,Login,Low,9,Yes
T002427,C025947,Bug,Medium,8,No
T002428,C010522,Billing,Medium,14,Yes
T002429,C020306,Cancellation,High,11,No
T002430,C034433,Bug,Medium,14,No
T002431,C007604,Feature,Medium,5,Yes
T002432,C017620,Bug,Low,9,Yes
T002433,C003216,Bug,Low,10,No
T002434,C009886,Billing,High,7,No
T002435,C007481,Feature,Low,6,Yes
T002436,C049029,Login,Low,15,No
T002437,C002251,Cancellation,Medium,0,No
T002438,C030641,Feature,Medium,8,Yes
T002439,C005519,Bug,Medium,8,Yes
T002440,C049782,Billing,Low,5,No
T002441,C028967,Billing,High,15,Yes
T002442,C011385,Billing,High,10,No
T002443,C030625,Billing,Medium,9,No
T002444,C000604,Login,Medium,8,Yes
T002445,C043081,Bug,High,6,No
T002446,C010741,Bug,Medium,2,Yes
T002447,C006623,Billing,High,6,No
T002448,C040678,Cancellation,Low,10,Yes
T002449,C002510,Feature,Medium,12,No
T002450,C035721,Bug,High,2,Yes
T002451,C022496,Billing,Medium,13,No
T002452,C036264,Bug,Low,10,No
T002453,C036263,Feature,High,2,Yes
T002454,C007371,Bug,Medium,5,Yes
T002455,C038118,Feature,Low,4,Yes
T002456,C000504,Login,Low,8,Yes
T002457,C046552,Feature,Medium,10,Yes
T002458,C036250,Login,Low,4,Yes
T002459,C029352,Feature,Medium,5,No
T002460,C003387,Billing,Medium,5,Yes
T002461,C008579,Login,High,2,No
T002462,C029188,Feature,Low,9,Yes
T002463,C032684,Bug,High,1,No
T002464,C035476,Bug,Low,6,No
T002465,C003408,Billing,High,6,No
T002466,C032336,Cancellation,High,0,Yes
T002467,C040981,Login,Medium,5,Yes
T002468,C017624,Bug,Medium,4,Yes
T002469,C009119,Cancellation,Medium,3,Yes
T002470,C044709,Feature,High,6,No
T002471,C021502,Bug,High,4,Yes
T002472,C046740,Billing,Low,6,Yes
T002473,C045718,Cancellation,Medium,14,No
T002474,C033701,Bug,Medium,13,No
T002475,C027184,Billing,Low,8,No
T002476,C012729,Billing,High,9,Yes
T002477,C039678,Billing,High,5,Yes
T002478,C026180,Cancellation,High,15,No
T002479,C005983,Feature,Low,15,No
T002480,C007460,Bug,Low,11,No
T002481,C005262,Billing,Medium,10,No
T002482,C029778,Billing,Low,15,No
T002483,C037335,Feature,High,13,Yes
T002484,C008786,Login,Low,6,Yes
T002485,C024102,Login,High,11,No
T002486,C027130,Feature,Medium,6,Yes
T002487,C033930,Bug,Low,12,Yes
T002488,C036029,Feature,High,4,Yes
T002489,C013465,Billing,Low,15,Yes
T002490,C020860,Billing,Medium,11,No
T002491,C022400,Billing,Medium,13,No
T002492,C031039,Feature,Medium,15,Yes
T002493,C019830,Bug,Medium,14,Yes
T002494,C029787,Bug,Medium,15,No
T002495,C042807,Login,High,1,Yes
T002496,C017961,Bug,Medium,2,No
T002497,C040198,Billing,Medium,14,Yes
T002498,C027962,Login,Low,8,Yes
T002499,C020107,Bug,High,13,Yes
T002500,C005582,Login,Low,0,No
T002501,C045706,Login,Low,12,No
T002502,C011254,Login,High,5,No
T002503,C028439,Login,High,3,No
T002504,C001073,Cancellation,High,15,No
T002505,C025734,Feature,High,14,Yes
T002506,C006791,Login,Medium,8,No
T002507,C013427,Bug,Low,1,No
T002508,C032373,Login,High,7,Yes
T002509,C001205,Login,Low,7,Yes
T002510,C039100,Cancellation,High,6,Yes
T002511,C018846,Cancellation,High,6,No
T002512,C020978,Bug,High,15,Yes
T002513,C019975,Bug,High,13,Yes
T002514,C004606,Cancellation,Low,8,Yes
T002515,C030636,Login,Medium,3,No
T002516,C019608,Login,High,9,No
T002517,C041881,Billing,Low,6,No
T002518,C003378,Login,Low,6,Yes
T002519,C009916,Feature,Low,10,No
T002520,C044277,Login,Low,1,Yes
T002521,C042916,Bug,High,7,Yes
T002522,C021556,Billing,Low,7,Yes
T002523,C037801,Bug,High,11,Yes
T002524,C017010,Cancellation,Medium,4,No
T002525,C037743,Bug,Medium,1,No
T002526,C011019,Cancellation,High,4,No
T002527,C006299,Login,Medium,9,Yes
T002528,C039582,Billing,Medium,1,Yes
T002529,C048956,Bug,High,13,No
T002530,C014631,Billing,Medium,7,Yes
T002531,C028695,Feature,Low,3,Yes
T002532,C026904,Billing,Medium,5,Yes
T002533,C001335,Bug,Medium,14,Yes
T002534,C022684,Cancellation,High,10,No
T002535,C013666,Cancellation,Medium,7,No
T002536,C030351,Bug,Medium,15,Yes
T002537,C029931,Cancellation,Low,9,No
T002538,C040375,Cancellation,Low,4,No
T002539,C033946,Login,High,10,No
T002540,C003577,Login,High,6,Yes
T002541,C001874,Login,High,14,No
T002542,C033896,Bug,Low,6,No
T002543,C032154,Feature,High,0,Yes
T002544,C015732,Cancellation,Medium,15,No
T002545,C016412,Feature,Low,12,No
T002546,C004383,Billing,High,8,Yes
T002547,C002832,Feature,Medium,3,No
T002548,C010468,Bug,Medium,1,Yes
T002549,C031681,Feature,Medium,6,Yes
T002550,C022123,Billing,Medium,13,Yes
T002551,C017073,Login,Low,7,No
T002552,C048243,Bug,High,12,No
T002553,C025015,Bug,Low,0,Yes
T002554,C011149,Bug,Low,12,No
T002555,C013429,Cancellation,Low,2,No
T002556,C029530,Feature,Low,14,No
T002557,C008270,Billing,Low,3,Yes
T002558,C012083,Billing,High,13,No
T002559,C026463,Bug,High,5,No
T002560,C024853,Login,Medium,9,No
T002561,C049282,Billing,Low,12,No
T002562,C042549,Bug,Medium,13,No
T002563,C013075,Billing,Medium,11,No
T002564,C024453,Billing,Low,6,No
T002565,C002624,Feature,Medium,8,Yes
T002566,C009556,Cancellation,Low,11,Yes
T002567,C023614,Feature,High,5,No
T002568,C014201,Bug,Medium,13,Yes
T002569,C020257,Billing,Medium,11,Yes
T002570,C040608,Bug,Medium,3,No
T002571,C039559,Login,Medium,15,No
T002572,C002217,Login,Low,7,Yes
T002573,C029196,Login,Medium,14,No
T002574,C026874,Bug,Low,1,No
T002575,C040432,Billing,Medium,10,No
T002576,C025831,Feature,Medium,8,No
T002577,C042876,Login,High,9,Yes
T002578,C002623,Login,Medium,7,Yes
T002579,C007409,Billing,High,0,No
T002580,C026792,Billing,Medium,9,Yes
T002581,C010006,Cancellation,High,0,Yes
T002582,C028304,Billing,High,11,No
T002583,C043315,Billing,High,4,No
T002584,C026527,Bug,Medium,13,Yes
T002585,C026650,Billing,Low,11,Yes
T002586,C036394,Login,High,8,No
T002587,C039098,Bug,High,4,No
T002588,C034130,Login,Medium,15,Yes
T002589,C048793,Feature,High,9,No
T002590,C031021,Feature,High,10,Yes
T002591,C010569,Login,Low,7,Yes
T002592,C046164,Login,High,1,No
T002593,C025732,Bug,Low,15,No
T002594,C020812,Bug,Low,14,No
T002595,C000306,Billing,Low,10,Yes
T002596,C036572,Cancellation,Low,15,Yes
T002597,C036373,Feature,Medium,13,Yes
T002598,C016328,Login,Medium,8,Yes
T002599,C019132,Feature,Low,3,Yes
T002600,C005957,Billing,High,5,Yes
T002601,C021265,Billing,High,11,Yes
T002602,C025275,Billing,High,4,Yes
T002603,C045875,Feature,High,5,Yes
T002604,C028982,Login,High,10,No
T002605,C030803,Login,High,12,No
T002606,C006913,Cancellation,Low,3,Yes
T002607,C034189,Billing,High,8,Yes
T002608,C019883,Cancellation,Medium,6,No
T002609,C017112,Feature,Medium,1,Yes
T002610,C031199,Bug,Low,3,No
T002611,C005694,Billing,High,1,Yes
T002612,C006554,Cancellation,High,14,No
T002613,C001421,Login,Medium,9,Yes
T002614,C008927,Billing,Low,0,No
T002615,C031947,Billing,Medium,9,Yes
T002616,C017134,Bug,High,4,No
T002617,C006957,Cancellation,Low,10,No
T002618,C037024,Feature,High,5,Yes
T002619,C049693,Billing,Medium,12,Yes
T002620,C044343,Login,Medium,10,No
T002621,C001096,Cancellation,High,3,No
T002622,C003131,Billing,High,5,Yes
T002623,C010648,Login,Low,10,No
T002624,C022807,Feature,High,2,No
T002625,C048685,Cancellation,Medium,8,No
T002626,C032228,Feature,High,7,No
T002627,C012095,Billing,Medium,6,Yes
T002628,C044524,Feature,High,14,No
T002629,C032761,Cancellation,High,11,No
T002630,C021730,Billing,Medium,15,Yes
T002631,C004217,Login,Medium,3,No
T002632,C003716,Feature,Medium,1,No
T002633,C037626,Cancellation,Low,9,No
T002634,C001958,Cancellation,Medium,0,Yes
T002635,C018923,Cancellation,High,14,Yes
T002636,C006638,Login,Low,13,Yes
T002637,C028459,Cancellation,High,14,Yes
T002638,C005238,Billing,High,10,Yes
T002639,C004806,Feature,Low,1,No
T002640,C029232,Billing,Medium,7,Yes
T002641,C006528,Billing,Medium,14,No
T002642,C014183,Billing,High,14,Yes
T002643,C002910,Feature,Low,1,Yes
T002644,C016735,Cancellation,Low,10,No
T002645,C035179,Feature,High,5,No
T002646,C043250,Feature,Low,11,Yes
T002647,C018847,Login,High,10,No
T002648,C044008,Feature,High,11,No
T002649,C032073,Bug,Low,7,Yes
T002650,C027361,Login,Medium,8,Yes
T002651,C044224,Billing,High,15,Yes
T002652,C005977,Billing,High,13,Yes
T002653,C013731,Billing,Low,3,Yes
T002654,C048915,Bug,High,5,No
T002655,C008539,Cancellation,Low,12,No
T002656,C006425,Cancellation,Medium,13,No
T002657,C003299,Login,Medium,1,No
T002658,C034767,Login,Medium,6,No
T002659,C006060,Cancellation,High,7,Yes
T002660,C023137,Feature,Medium,12,No
T002661,C043376,Cancellation,Low,14,Yes
T002662,C026006,Login,Medium,3,Yes
T002663,C025627,Login,Medium,11,No
T002664,C021266,Login,Low,3,No
T002665,C023437,Cancellation,Low,14,Yes
T002666,C001422,Feature,Low,1,Yes
T002667,C008472,Feature,High,14,No
T002668,C004416,Feature,Low,7,Yes
T002669,C039359,Billing,Medium,11,Yes
T002670,C005792,Bug,Medium,2,No
T002671,C047091,Billing,High,8,Yes
T002672,C005602,Bug,Low,9,No
T002673,C046206,Login,Medium,6,No
T002674,C028166,Billing,Medium,13,No
T002675,C008460,Feature,Low,8,Yes
T002676,C037476,Login,High,7,Yes
T002677,C005061,Cancellation,Medium,6,Yes
T002678,C008709,Bug,Low,9,No
T002679,C035087,Bug,Low,3,Yes
T002680,C013827,Login,High,1,Yes
T002681,C004027,Bug,Low,15,No
T002682,C019414,Bug,High,4,No
T002683,C032120,Feature,Low,11,Yes
T002684,C016684,Bug,High,13,Yes
T002685,C021630,Bug,Medium,11,Yes
T002686,C015584,Billing,Medium,13,Yes
T002687,C027983,Login,High,9,No
T002688,C041274,Feature,Medium,2,Yes
T002689,C041348,Billing,Medium,5,No
T002690,C029146,Bug,Medium,4,Yes
T002691,C003414,Bug,High,11,No
T002692,C028423,Billing,Medium,11,Yes
T002693,C034843,Login,Medium,13,Yes
T002694,C008630,Login,High,0,Yes
T002695,C016216,Cancellation,High,7,No
T002696,C025657,Cancellation,High,8,No
T002697,C015668,Login,Medium,1,Yes
T002698,C005318,Billing,Medium,8,Yes
T002699,C003482,Cancellation,Medium,8,Yes
T002700,C014327,Cancellation,Low,9,No
T002701,C017730,Login,Low,1,No
T002702,C021029,Billing,High,15,No
T002703,C010141,Feature,High,7,No
T002704,C047840,Login,High,15,No
T002705,C018462,Feature,Medium,8,Yes
T002706,C014393,Billing,Medium,5,No
T002707,C036579,Feature,High,10,No
T002708,C009503,Login,Low,2,Yes
T002709,C003349,Cancellation,Medium,7,Yes
T002710,C032422,Cancellation,High,10,Yes
T002711,C048414,Login,Low,4,Yes
T002712,C036800,Billing,High,3,No
T002713,C026477,Login,High,13,No
T002714,C024645,Bug,Medium,6,Yes
T002715,C046295,Bug,High,10,No
T002716,C046379,Bug,High,15,Yes
T002717,C021292,Login,Low,3,Yes
T002718,C003827,Billing,Medium,7,Yes
T002719,C017611,Login,Low,0,Yes
T002720,C013034,Billing,Medium,6,Yes
T002721,C022683,Feature,Low,11,No
T002722,C037681,Bug,High,9,No
T002723,C040781,Billing,Low,15,Yes
T002724,C018285,Billing,Low,4,Yes
T002725,C044774,Billing,Low,12,No
T002726,C010696,Login,Low,15,Yes
T002727,C016211,Login,Low,0,Yes
T002728,C000954,Billing,Medium,7,Yes
T002729,C007031,Feature,High,6,Yes
T002730,C026110,Login,Medium,7,No
T002731,C045065,Feature,Low,6,No
T002732,C014349,Feature,Medium,4,No
T002733,C030091,Cancellation,Low,0,Yes
T002734,C010038,Billing,High,8,No
T002735,C036960,Feature,High,15,Yes
T002736,C034567,Login,Medium,8,No
T002737,C006982,Billing,Medium,1,Yes
T002738,C018049,Cancellation,Low,11,Yes
T002739,C021536,Feature,High,1,No
T002740,C002079,Billing,Low,4,No
T002741,C001646,Cancellation,Medium,0,Yes
T002742,C030992,Billing,Low,12,No
T002743,C011197,Cancellation,Low,1,Yes
T002744,C021941,Cancellation,Medium,2,Yes
T002745,C007104,Login,Medium,3,Yes
T002746,C016002,Bug,Low,12,Yes
T002747,C003163,Billing,High,13,Yes
T002748,C045127,Cancellation,Medium,6,No
T002749,C048860,Feature,Medium,14,No
T002750,C011119,Login,High,3,No
T002751,C023878,Bug,Medium,8,Yes
T002752,C012648,Cancellation,Low,4,No
T002753,C048447,Login,High,4,Yes
T002754,C045551,Cancellation,High,12,No
T002755,C048688,Bug,Low,13,No
T002756,C042189,Login,Medium,8,No
T002757,C015100,Cancellation,Medium,5,No
T002758,C016187,Login,Medium,7,No
T002759,C015754,Login,Medium,3,Yes
T002760,C032395,Feature,Medium,14,Yes
T002761,C043466,Feature,Low,2,No
T002762,C027965,Bug,High,11,No
T002763,C012282,Feature,Low,0,No
T002764,C002350,Bug,Low,2,Yes
T002765,C042432,Cancellation,Medium,9,No
T002766,C036889,Bug,High,13,Yes
T002767,C024857,Cancellation,High,4,No
T002768,C037294,Login,Medium,7,No
T002769,C002086,Cancellation,High,12,No
T002770,C000365,Billing,High,6,Yes
T002771,C034583,Login,High,12,Yes
T002772,C042768,Feature,Low,6,No
T002773,C015968,Bug,Medium,11,No
T002774,C008576,Cancellation,Medium,4,No
T002775,C013127,Login,High,9,Yes
T002776,C044838,Bug,Low,5,No
T002777,C037634,Feature,High,9,Yes
T002778,C011357,Bug,Medium,1,No
T002779,C030098,Bug,Medium,2,No
T002780,C023719,Feature,Low,9,Yes
T002781,C005436,Login,High,8,No
T002782,C045671,Billing,Medium,15,No
T002783,C011692,Billing,Medium,2,Yes
T002784,C014441,Cancellation,High,15,No
T002785,C047828,Cancellation,Medium,14,No
T002786,C042178,Feature,High,0,Yes
T002787,C032752,Login,Medium,0,No
T002788,C049558,Cancellation,Medium,10,No
T002789,C020296,Cancellation,Medium,14,No
T002790,C008998,Feature,High,8,No
T002791,C011837,Feature,High,9,Yes
T002792,C001216,Bug,Low,0,No
T002793,C025431,Bug,High,12,No
T002794,C025006,Feature,Medium,12,No
T002795,C013895,Cancellation,Medium,1,Yes
T002796,C023059,Billing,Medium,9,Yes
T002797,C016311,Bug,Medium,15,No
T002798,C030627,Feature,High,0,Yes
T002799,C010547,Feature,High,9,No
T002800,C047106,Bug,Medium,15,No
T002801,C000849,Billing,High,13,Yes
T002802,C034695,Bug,Medium,5,No
T002803,C028312,Bug,Medium,6,Yes
T002804,C005895,Cancellation,Low,3,Yes
T002805,C036165,Billing,High,1,No
T002806,C000261,Login,High,6,Yes
T002807,C000166,Cancellation,Low,13,No
T002808,C025246,Bug,Medium,10,No
T002809,C015485,Login,Medium,12,No
T002810,C039743,Bug,Medium,4,Yes
